Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1.09E+14,Yogesh Bobade - ????? ?????,Yogesh Bobade - ????? ?????,584,2
1.11E+14,Lionel Messi 4002869,These ads ran without a disclaimer,584,1
1.05E+14,Virginia Hardy,These ads ran without a disclaimer,584,2
2.39E+14,Stock Research Institute,These ads ran without a disclaimer,584,1
1.13E+14,Discover Yucun,These ads ran without a disclaimer,584,1
2.00E+14,38Barracks,These ads ran without a disclaimer,584,2
1.11E+14,?????? ?? ????,?????? ?? ????,583,1
1.09E+14,LOCAL VOICE telugu,LOCAL VOICE telugu,583,2
5.88E+14,Raam Ji Gupta,Raam Ji Gupta,582,3
1.09E+14,Deshraj Kharera advocate,Deshraj Kharera advocate,582,1
1.02E+14,Yuva Galam,Social Grow Company,582,1
1.87E+14,Saksham Devendra Jain - Pattewale,Saksham Devendra Jain - Pattewale,582,2
2.74E+14,Vishhal Waghchaure,Vishhal Waghchaure,582,1
1.03E+14,Apni Jantantrik Party 'A.J.P',Apni Jantantrik Party 'A.J.P',582,4
1.04E+14,Skillinabox X Fashion,These ads ran without a disclaimer,581,3
1.11E+14,Agatha Sangma,Agatha Sangma,581,2
1.01E+14,Anil Jain Kaluheda Ujjain,Anil Jain Kaluheda Ujjain,581,7
1.48E+14,Son Of Buxar,Social Bar,580,1
2.16E+14,Neha Mahajan,Neha Mahajan,580,3
1.03E+14,Murali Sharma Fan Club,Murali Sharma Fan Club,580,3
6.83E+14,Ram Pratap Yadav,Ram Pratap Yadav,579,2
6.37E+14,Ujjal Phukon,Ujjal Phukon,579,6
1.46E+15,??????? ???,??????? ???,579,2
1.51E+15,Prem Sagar,ART Valley DigiTech,578,2
1.74E+14,Geniben Thakor,Geniben Thakor,578,2
1.07E+14,Vijeta Election Management,Vijeta Election Management,578,6
1.29E+14,halal.work.from.home,These ads ran without a disclaimer,577,2
1.01E+14,Her Circle,These ads ran without a disclaimer,577,2
1.01E+14,Jain Khabar,Jain Khabar,577,1
2.67E+14,Kandukuru Vijaya Sai Reddy Vijayam Kosam,Designboxed,577,1
8.49E+14,Satyapal Singh Saini,Satyapal Singh Saini,576,8
1.57E+14,Bhupendra Singh Bhandari,Bhupendra Singh Bhandari,576,7
1.13E+14,Avinash Thakre,Avinash Thakre,576,2
2.14E+14,Dheeraj Kumar Verma,Dheeraj Kumar Verma,576,5
1.43E+14,Suresh Khade,Suresh Khade,576,2
1.01E+14,Kollam cart,Kollam cart,575,1
2.52E+14,Padam Singh - Fauji,Anshumaan Singh,574,2
2.47E+14,Rajdhani CG,Alok,573,5
2.01E+14,Rajendra Agarwal,Rajendra Agarwal,573,3
2.57E+14,Chulbul shahi,Chulbul shahi,572,7
2.81E+14,Rishank Tiwari,Rishank Tiwari,572,2
1.06E+14,Shivam Aabasaheb Sutar,Shivam Aabasaheb Sutar,571,1
1.09E+14,Ashraf Mir Fanpage,Ashraf Mir Fanpage,571,3
6.93E+14,Emerging Technologies India,Emerging Technologies India,571,1
1.32E+14,?????? ???????? ?????? ?????,?????? ???????? ?????? ?????,571,3
1.65E+14,Neelambari Adivasi Oil,These ads ran without a disclaimer,570,14
2.95E+14,Kadapa Election 2024,Rea Digitals,569,8
1.16E+14,Kapil Dhoke,Kapil Dhoke,569,1
1.00E+14,?????? ???????? ??,?????? ???????? ??,569,2
1.27E+14,Vishal Wakchaure - ????? ???????,MahaReport,568,1
1.05E+14,Kamaldeo Prasad KD Yadav,Kamaldeo Prasad KD Yadav,568,8
6.74E+14,Moglix,These ads ran without a disclaimer,567,2
1.06E+14,Delhi Funds Solution,Delhi Funds Solution,566,1
1.03E+14,Dr. Basavaraj B - BJP Siruguppa Leader,Dr. Basavaraj B - BJP Siruguppa Leader,566,1
1.03E+14,?????? Mirror,?????? Mirror,566,5
8.96E+14,Mahesh Trivedi,Mahesh Trivedi,565,7
2.02E+14,Odisha Poll Tracker,Odisha Poll Tracker,564,1
7.67E+14,Priyal Chaudhuri - politician & social worker,Priyal Chaudhuri - politician & social worker,564,5
3.31E+14,Umesh G Karjol FC,Umesh G Karjol FC,564,3
2.93E+11,International Christian Embassy Jerusalem (ICEJ),These ads ran without a disclaimer,564,2
1.66E+14,Firstpost,These ads ran without a disclaimer,563,4
1.69E+15,"Sukhendra Singh Banna ????????? ???? ""?????""","Sukhendra Singh Banna ????????? ???? ""?????""",563,1
1.07E+14,Adv Gaurav Pandey,Adv Gaurav Pandey,563,6
2.51E+14,The Nationalist Madarasi,These ads ran without a disclaimer,562,3
1.33E+14,?????? ??????,?????? ??????,562,2
2.24E+14,Anurag Tiwari,Anurag Tiwari,560,3
1.09E+14,Pranav Dhawan - Spokesperson/Debater,Pranav Dhawan - Spokesperson/Debater,560,2
7.94E+14,RTIbytes,RTIbytes,559,5
1.04E+14,Channel 5 Tamil,Channel 5 Tamil,559,1
7.94E+14,Bittoo Printer,These ads ran without a disclaimer,559,1
1.12E+14,Rashmi Mishra,Rashmi Mishra,558,3
1.12E+14,Elections Management,Elections Management,558,2
1.11E+14,Anmol Sandesh,Anmol Sandesh,556,2
2.93E+14,SAGI Visuals,These ads ran without a disclaimer,556,2
5.55E+14,Tushmul Jha,Tushmul Jha,555,5
1.68E+14,Kate Levy Czerwinski,These ads ran without a disclaimer,555,1
2.44E+14,Image Vistar Solutions,Image Vistar Solutions,554,1
3.33E+14,Boopathi Mariyappan,Boopathi Mariyappan,554,4
1.09E+14,BT News Bihar,BT News Bihar,554,3
2.40E+14,Accident Lawyers,These ads ran without a disclaimer,554,1
6.00E+14,?????? ??? - Himachal Samay,?????? ??? - Himachal Samay,554,6
1.08E+14,Nisha Kushwaha bjp,BDR Enterprises,554,3
1.39E+15,Mukesh singh yadav smriti mahavidyalaya,These ads ran without a disclaimer,554,1
5.26E+14,The Critical Script,The Critical Script,553,3
1.10E+14,Tech By Vishal,MahaReport,553,1
2.56E+14,Mp.Sanjay kaka Patil fc,These ads ran without a disclaimer,553,2
1.08E+14,Amar Singh Yadav,Amar Singh Yadav,553,4
1.05E+14,Ranvijay Singh,These ads ran without a disclaimer,553,1
2.00E+15,??????? ??????,??????? ??????,551,5
1.97E+14,Jugal Kishore Sharma,Jugal Kishore Sharma,550,8
2.71E+14,Radio Rajasthan,Radio Rajasthan,550,5
1.68E+15,Dr Rahul Patil - ????? ?????,Dr Rahul Patil - ????? ?????,550,3
1.48E+14,Tapan Sharma,Tapan Sharma,550,5
2.89E+14,???? ?? ??????: ?????,The Spectrum,550,2
1.19E+14,Sachin Anna Taware,Sachin Anna Taware,550,2
1.13E+14,Sudhir Singh Tomar Satna,Sudhir Singh Tomar Satna,550,1
1.45E+15,Bachan Singh Arya,Big Boys Consulting Private Limited,549,3
1.22E+17,Dr.Ketkitai Patil - ??.???????? ?????,Dr.Ketkitai Patil - ??.???????? ?????,549,1
3.40E+14,Dr Anjali Sharma,These ads ran without a disclaimer,549,1
1.01E+14,Rameshwar Gurjar BJP,Rameshwar Gurjar BJP,549,3
4.91E+14,????????? ??????,????????? ??????,549,3
1.00E+14,???????? ???? ????,???????? ???? ????,549,1
2.95E+14,drnareshhegde,These ads ran without a disclaimer,549,2
1.18E+14,Suresh Prasad Mandal,Suresh Prasad Mandal,547,5
5.68E+14,Chetan Choudhary,Chetan Choudhary,546,2
1.13E+14,Dr.Challagundla Srinivas,Dr.Challagundla Srinivas,546,1
1.11E+14,Akshay Kalu,Akshay Kalu,546,5
7.88E+14,Vijay Revnath Choure,Vijay Revnath Choure,546,8
1.02E+14,Rajinder Bitta - BJP,Rajinder Bitta - BJP,545,8
2.23E+14,Vishal For Sangli,Vishal For Sangli,545,1
1.06E+14,Shyam Singh,Shyam Singh,544,6
1.14E+14,Neeraj Epilepsy Clinic,These ads ran without a disclaimer,544,1
1.22E+14,Ultra Luxury Properties,These ads ran without a disclaimer,544,1
1.13E+14,Dermalogica India,These ads ran without a disclaimer,544,1
2.30E+14,Bloom Sync Digital Marketing Agency,Hello Surendra Digital Marketing Agency,543,2
1.04E+14,WattPower India,These ads ran without a disclaimer,543,4
1.51E+14,Covestro,These ads ran without a disclaimer,543,1
1.86E+14,Bosch Global,These ads ran without a disclaimer,543,1
6.47E+14,Charnjeet Singh Karnal Lok Sabha,AwesomeByte,543,1
1.95E+14,Rakesh Goel,Rakesh Goel,542,4
1.10E+14,Dravidian Magesh Kumar-DMK,Dravidian Magesh Kumar-DMK,541,1
1.74E+14,Desh Ki baat,Clockwork Campaigns & Analytics,541,2
6.04E+14,Vamsi Uppili,Infinity connects media,541,1
1.04E+14,Dr. Ravi kumar T.G,Dr. Ravi kumar T.G,540,1
1.07E+14,Kandib Mayor,These ads ran without a disclaimer,540,1
4.27E+14,Tarun Jain,Tarun Jain,540,3
1.02E+14,Satya News24,Satya News24,540,6
1.03E+14,Raj Bala Singh,Raj Bala Singh,540,6
1.00E+14,Simranjit Singh Mann Zindabaad,Creative Benchers,540,1
2.52E+15,???????? ????? ??,???????? ????? ??,539,2
8.45E+14,IDream Telugu News,IDream Telugu News,539,87
1.12E+14,Mukesh Yadav Zaildar,Mukesh Yadav Zaildar,539,6
2.27E+15,Chandrapal Khadagvanshi,Chandrapal Khadagvanshi,538,6
1.10E+14,Price Andrew,These ads ran without a disclaimer,538,3
5.62E+14,Dr Padmalatha Anusuri,Dr Padmalatha Anusuri,537,2
2.31E+14,shivji111_,These ads ran without a disclaimer,537,1
1.04E+14,Hennur Pulikeshi,Hennur Pulikeshi,537,4
1.08E+14,Fresh Bus,These ads ran without a disclaimer,536,4
2.05E+14,Vikas Selwal,Vikas Selwal,535,1
1.01E+14,Dr.Surendra Kumar Chiropractor,These ads ran without a disclaimer,535,1
1.06E+14,Ovais Mushtaq,Ovais Mushtaq,534,2
1.02E+14,News Tank,News Tank,534,2
1.31E+14,??????????? ???????? ??????,??????????? ???????? ??????,534,3
1.34E+14,Gitasree Maity,Gitasree Maity,533,2
2.08E+14,Sandeep Onkar,Sandeep Onkar,532,2
1.08E+14,Lets Play Faster,These ads ran without a disclaimer,532,2
1.12E+14,Rao Prem Singh,Rao Prem Singh,531,6
2.50E+14,???? ??????,Mera Jewar,531,1
1.50E+14,RPS Infrastructure Limited,These ads ran without a disclaimer,531,3
2.22E+14,Avinash Patil - Jadhav,Avinash Patil - Jadhav,530,1
3.26E+14,???? ???? ????,???? ???? ????,530,2
2.63E+14,?? ?????? ?? ??????,?? ?????? ?? ??????,530,2
1.12E+14,Kusum Sharma - Mona,Kusum Sharma - Mona,530,2
2.01E+14,Ramoji Gowda Fans,Ramoji Gowda Fans,529,2
1.01E+14,Airia Mall,These ads ran without a disclaimer,528,2
5.30E+14,Byatarayanapura Speaks - 2018,Byatarayanapura Speaks - 2018,527,1
2.14E+14,Praja Teerpu Jagan Anna Gelupu,Digital Pitch,527,6
2.05E+14,NamanAdhana,NamanAdhana,527,1
2.99E+14,Lakhan Mardi,Lakhan Mardi,527,4
1.69E+15,Dr.Sanjay Kumar Nishad,Dr.Sanjay Kumar Nishad,527,2
1.07E+14,Jising,Jising,526,3
5.47E+14,Spotify,These ads ran without a disclaimer,526,1
7.42E+14,Charanjeet singh - sunny,Charanjeet singh - sunny,526,70
4.96E+14,Raghavji Patel,Raghavji Patel,526,1
2.43E+14,????????? ???,These ads ran without a disclaimer,525,2
2.35E+14,Ochoadg1,These ads ran without a disclaimer,525,2
1.06E+14,Meditation,Meditation,525,4
1.01E+14,Atul Save Yuva Manch,Atul Save Yuva Manch,524,1
1.06E+14,?? ???????? ??,?? ???????? ??,523,7
1.48E+15,News18 Hindi,These ads ran without a disclaimer,522,3
3.43E+14,Adivasi Maruthi Herbal Products,These ads ran without a disclaimer,522,3
1.19E+14,indias_savers_,These ads ran without a disclaimer,522,1
1.08E+14,Webnexon Technologies,Webnexon Technologies,521,3
1.01E+14,Rehan graphic design,Rehan graphic design,521,3
1.67E+14,YABBI,YABBI,520,2
1.40E+14,Sarvesh Patidar,foresight digital,520,3
1.07E+14,Ashish Sablepatil Mns,Ashish Sablepatil Mns,520,2
1.76E+14,?? ??? 24/7,oiesu,520,2
3.99E+14,Dr.Kalikiri Murali Mohan,Dr.Kalikiri Murali Mohan,520,3
1.03E+14,Satpal Singh,Satpal Singh,519,3
2.87E+14,Shailesh Nitin Trivedi,Shailesh Nitin Trivedi,519,3
3.04E+14,Pawan Sharma Pahlwan,FS Findscope Consultancy LLP,519,1
1.01E+14,The Established,These ads ran without a disclaimer,518,3
1.09E+14,Jayesh Murkute,Jayesh Murkute,518,2
1.07E+14,Ranjeet Patel,Ranjeet Patel,517,8
1.48E+14,Sandeep Sharma,Sandeep Sharma,517,2
9.70E+14,Digital Politics,Digital Politics,517,1
7.97E+14,Ujala Cygnus Rainbow Hospital,These ads ran without a disclaimer,516,3
2.44E+14,Harish Dusa,These ads ran without a disclaimer,516,1
1.59E+14,Sustainability100+,These ads ran without a disclaimer,516,3
1.29E+14,Mahadev Babar - ?????? ????,OutFlow Social,515,1
1.09E+14,Genocus,Genocus,515,3
2.58E+14,Mommley Solar India,These ads ran without a disclaimer,514,1
1.71E+14,???????? ????????? Chittorgarh VidhanSabha,???????? ????????? Chittorgarh VidhanSabha,514,7
2.43E+14,Adivasi Herbal Hair Oil,These ads ran without a disclaimer,514,4
1.71E+14,?????? ?????????? ??????,?????? ?????????? ??????,513,1
1.11E+14,Shreeji Energy,These ads ran without a disclaimer,513,1
2.16E+11,Bill Gates,These ads ran without a disclaimer,513,3
1.07E+14,BJP Rourkela,BJP Rourkela,513,1
1.10E+14,"Dr. Saikat Patra, Mayor - Dibrugarh Municipal Corporation","Dr. Saikat Patra, Chairperson, Dibrugarh Municipal Board.",512,1
2.66E+14,Ravindra Fauzdar                  Ballabhgarh,Ravindra Fauzdar                  Ballabhgarh,512,3
2.82E+14,RCY Fans Punganur,These ads ran without a disclaimer,510,1
1.11E+14,Pradeep M Kumar,Pradeep M Kumar,510,1
8.37E+14,The Voice Of Bihar,The Voice Of Bihar,510,3
3.85E+14,Ishant Gupta,Ishant Gupta,509,6
1.02E+14,Electiontrend,Electiontrend,509,1
4.09E+14,Bhairowjee Pandey,Bhairowjee Pandey,508,2
1.03E+14,Laxmi Studio,Laxmi Studio,508,1
3.26E+14,Gourav arya,These ads ran without a disclaimer,508,3
7.63E+14,Nirbhay Shahabadi,Nirbhay Shahabadi,508,2
1.09E+14,Giriraj M Pai Vernekar,Giriraj M Pai Vernekar,507,2
1.01E+14,Anand mani tripathi BJP,Anand mani tripathi BJP,507,1
1.02E+14,Rakesh Prashar,Rakesh Prashar,506,6
1.04E+14,____rkr_____,These ads ran without a disclaimer,506,1
1.04E+14,???????? ???? ????,???????? ???? ????,505,10
1.03E+14,Nuvama Private,These ads ran without a disclaimer,505,1
1.71E+14,Team Sarika Choudhary,Team Sarika Choudhary,505,1
1.06E+14,Summer News Haryana,Summer News Haryana,505,1
1.37E+15,Harsh Dwivedi,HDPI Softweblink Solutions LLP,505,6
1.03E+14,???? ??? ? ???????? ? ??????,???? ??? ? ???????? ? ??????,505,1
1.06E+14,englishpartner_telugu,These ads ran without a disclaimer,504,3
1.05E+14,We Support Rahul Gandhi,We Support Rahul Gandhi,502,2
2.25E+14,Rajendra Kondhare,Rajendra Kondhare,502,10
1.03E+14,Chaman Kapoor,Digital Arena,501,3
3.08E+14,Stone Reflection Media & Venture,Stone Reflection Media & Venture,501,2
3.26E+14,DR Rajesh Kumar,These ads ran without a disclaimer,501,1
1.03E+14,Bentivogli,These ads ran without a disclaimer,501,2
2.62E+14,AI Pixel Art-US 03,These ads ran without a disclaimer,501,3
1.13E+14,karnadeshmukh,These ads ran without a disclaimer,501,1
1.57E+14,Betty Gross,These ads ran without a disclaimer,501,1
1.10E+14,Motilal Oswal,These ads ran without a disclaimer,501,3
5.43E+14,voestalpine B?hler Welding,These ads ran without a disclaimer,501,1
1.09E+14,Ganpat Singh Rathore,Ganpat Singh Rathore,500,1
1.89E+15,The Educated Monkey,The Educated Monkey,500,1
1.06E+14,Rithik Suman,SIGNIN2DIGITAL TECHNOLOGHY,500,1
1.05E+14,Karuna Dhananjay Munde,Karuna Dhananjay Munde,500,1
2.24E+14,Sangat Singh Gilzian,Sangat Singh Gilzian,500,1
1.05E+14,??? ???,??? ???,500,1
4.58E+14,Nellore Thugs,Nellore Thugs,500,2
1.67E+14,Vishal Shiralkar,Ashwamedh Media,500,1
1.26E+14,Pragati Rashtra,Bhaylu Media India,500,1
1.01E+15,Thammesh Gowda HC,Thammesh Gowda HC,500,1
6.79E+14,NewsZenn,NewsZenn,500,1
2.13E+14,Sangamam Communications,Sangamam Communications Private Limited,500,2
1.10E+14,Mamillapalli Jayaprakash,Mamillapalli Jayaprakash,500,2
1.02E+14,Raghu Chandan For MP - 2024,Raghu Chandan For MP - 2024,500,1
1.09E+14,Sabareesh Gopal,Sabareesh Gopal,500,1
1.04E+14,???? ?????,???? ?????,500,1
1.13E+14,Ashutosh Shukla,Ashutosh Shukla,500,2
2.05E+14,Shubhendra Singh Gaur,Swanit Infotech,500,1
1.22E+14,Let's Talk Media,Let's Talk Media,500,2
1.04E+14,Abhinav Times,Abhinav Times,500,1
1.04E+14,Dharmendra Bhardwaj,Dharmendra Bhardwaj MLC Fan's,500,1
2.17E+14,Yash Datta Kaka Sane,Yash Datta Kaka Sane,500,1
4.30E+14,Nagender Bhadana,Nagender Bhadana,500,1
1.06E+14,MANOJ JENA,MANOJ JENA,500,1
8.72E+14,Pocket News Group,Pocket News Group,500,1
7.71E+14,Dhairyasheel Mane,Dhairyasheel Mane,500,1
5.94E+14,Shyam Sunder Sabharwal,Shyam Sunder Sabharwal,500,1
1.08E+14,Srirama Pawandheer Sanam,Srirama Pawandheer Sanam,500,1
1.18E+14,Baljit Singh Redhu,Baljit Singh Redhu,500,1
1.04E+14,???? ??????? ??? ?????? ??????? ???????,???? ??????? ??? ?????? ??????? ???????,500,1
1.00E+14,Zaheerabad Parliament Political News,Zaheerabad Parliament Political News,500,1
6.16E+14,CHAYA MORE,CHAYA MORE,500,1
1.85E+14,Manoj Goyal,Hope Creative & Branding,500,3
1.12E+14,Pinaki Barman,Pinaki Barman,500,1
1.31E+14,KhariKhari,KhariKhari,500,6
1.04E+14,Third Eye Digital Marketing,Third Eye Digital Marketing,500,1
1.23E+14,Dr.Saurabh Rathore Hanumangarh,Dr.Saurabh Rathore Hanumangarh,500,1
1.71E+14,Aanika Swaroop Reddy,These ads ran without a disclaimer,500,1
6.41E+14,AC. Shanmugam,Hi5 Marketing,500,1
2.63E+14,Rajakeeya Vishleshak,Rajakeeya Vishleshak,500,1
7.81E+14,ZM Steels,ZM Steels,499,1
1.15E+14,Pt Bhoop Singh Sharma,Click2Public Technologies OPC Pvt. Ltd.,499,1
1.98E+14,???? ??? 400 ???,All Axis Media,498,1
1.08E+14,????? ????,LUCKNOWTECH,498,1
2.37E+14,Lillian Cox,These ads ran without a disclaimer,497,2
3.05E+14,Ludhiana Prime Tv,Leadmagnet private limited,497,2
2.16E+14,JAN PRIME TV Jpt,JAN PRIME TV Jpt,497,3
10881062011,Bulletin of the Atomic Scientists,These ads ran without a disclaimer,497,6
9.47E+14,Rupali Patil Thombare,Rupali Patil Thombare,497,1
1.09E+14,???????? STAGE,These ads ran without a disclaimer,496,7
4.17E+14,Hem Narayan Sah,Hem Narayan Sah,496,7
1.09E+14,Gulam Mustafa,Gulam Mustafa,495,3
1.05E+14,???? ???????,???? ???????,495,7
1.07E+14,Alisha Real Estate,Alisha Real Estate,495,1
1.96E+15,AtmaRam Patel,AtmaRam Patel,495,4
1.24E+14,CPIM Porathissery,CPIM Porathissery,494,3
2.32E+14,Sukhbir Singh Kundu,AWL Metavese Pvt Ltd,494,9
1.41E+15,Rohit Deshmukh,Rohit Deshmukh,494,1
7.17E+14,Kailas Patil,Kailas Patil,494,1
5.28E+14,Roshan Mehta,Roshan Mehta,493,2
1.03E+14,Everything ??????,Everything ??????,493,1
1.02E+14,IARA- Indian Analysis and Research Agency,Bright Infocomp Services Pvt Ltd,493,1
1.21E+14,Kathleen Dennis,These ads ran without a disclaimer,492,2
1.02E+15,Kishore nara,Kishore nara,492,2
1.64E+14,Dr Rajesh Sharma,Dr Rajesh Sharma,492,4
1.09E+14,Neelambari Herbal hair oil,These ads ran without a disclaimer,492,1
8.47E+14,Ram Kumar Dadhich,Ram Kumar Dadhich Pipalda-???????? ????? ???????,492,4
2.78E+14,Naveen Jaihind,These ads ran without a disclaimer,491,2
1.15E+14,UKvani,UKvani,491,3
1.21E+15,Pooja Ashok More - ???? ???? ????,Pooja Ashok More - ???? ???? ????,491,1
2.12E+14,Dr. Ajay Meena,Dr. Ajay Meena,490,5
2.20E+14,Sandeep Pandey,sandesh foundation,490,2
1.50E+14,???? ??? ???? ????? ???? ?? ??????.,???? ??? ???? ????? ???? ?? ??????.,489,2
1.00E+15,Dr. Sunil Patel ??? ????? ????,Dr. Sunil Patel ??? ????? ????,489,3
2.83E+14,Mudra finance,These ads ran without a disclaimer,489,4
2.51E+14,Mahphil,Mahphil,489,1
1.05E+14,Shashank rajesh khare,Shashank rajesh khare,489,6
3.21E+14,Satyam News,Makereasy,488,5
1.07E+14,Sudhansu Sekhar Deo,ART Valley DigiTech,488,2
1.05E+14,?????????? ?????? ?????? ??????,These ads ran without a disclaimer,487,1
1.02E+14,Rohtak Ki Baat,Rohtak Ki Baat,486,6
2.80E+14,Aba Bagul Fan Club,Nspiresoft LLP,486,5
2.61E+14,I Support Dr Ajay,VISAGE ANALYTICS OPC PRIVATE LIMITED,486,3
1.13E+14,Tanushree Roy,Tanushree Roy,485,6
2.22E+15,CIPACA,These ads ran without a disclaimer,485,5
1.03E+14,Sundarapu Vijay Kumar Jsp,Sundarapu Vijay Kumar JSP,485,2
1.12E+15,Mahant Gaurav Sharma-World Champion Power Lifter,These ads ran without a disclaimer,485,1
1.19E+14,kokum_jodhpur,These ads ran without a disclaimer,485,1
1.02E+14,Salaf Academy,These ads ran without a disclaimer,484,1
1.80E+15,Premnarayan Tiwari,Premnarayan Tiwari,484,5
2.94E+14,Conscious Assamese,Conscious Assamese,484,2
7.27E+14,Gujarat Police,Gujarat Police,484,2
2.29E+14,Om Furniture Mall,Nspiresoft LLP,484,4
4.72E+14,Muppidi Venkateswara Rao,Scroll Ahead Private Limited,483,2
1.13E+14,Rohit Daharia,Rohit Daharia,483,2
1.03E+14,Lokshahi Party,Lokshahi Party,482,1
1.52E+15,Kulwant Rana MLA,Kulwant Rana MLA,481,1
3.01E+14,Nitin Deshmukh,Nitin Deshmukh,481,1
1.92E+15,Carbon Challenge with Monika Surana,These ads ran without a disclaimer,481,2
1.11E+14,Viral Karyakarta - ??????? ??????????,Viral Karyakarta - ??????? ??????????,480,2
4.74E+14,GK Update,GK Update,480,4
1.09E+14,Renewable Energy Expo,These ads ran without a disclaimer,480,2
1.05E+14,amansonivlogs,These ads ran without a disclaimer,480,1
7.54E+14,Khabarchhe,Khabarchhe,480,1
1.16E+14,Free Press Foundation,Free Press Foundation,479,2
1.54E+15,Ravindra Sahu Jhoomarwala,GOIM CONSULTANCY,479,2
1.57E+14,Trade Now,These ads ran without a disclaimer,479,2
1.01E+14,5 Pillars Construction Private Limited,5 Pillars Construction Private Limited,479,1
1.19E+14,indiankartmart,These ads ran without a disclaimer,479,3
1.02E+14,Bahadur Singh Nangthala Uklana,Bahadur Singh Nangthala Uklana,479,2
1.03E+14,Sadguru Solar,These ads ran without a disclaimer,478,1
1.10E+14,Thane District Update,Thane District Update,478,8
1.05E+14,Gurpreet Singh Sabi,Gurpreet Singh Sabi,478,4
1.04E+14,??????? ?????? For BJP ??????????,??????? ?????? For BJP ??????????,478,6
2.58E+14,?????? ?????? ????,?????? ?????? ????,477,1
6.07E+14,Sanju Devi,Sanju Devi,477,2
3.05E+14,"Euro International School, Sikar",These ads ran without a disclaimer,477,2
1.13E+14,Disney Star,These ads ran without a disclaimer,477,1
1.64E+15,Udaipur Culture,Udaipur Culture,477,1
6.50E+14,Gavin Mylliem,Gavin M. Mylliem,477,1
1.02E+14,Priyamvada,These ads ran without a disclaimer,476,1
1.11E+14,ToHand Help India,These ads ran without a disclaimer,476,1
1.09E+14,Rahul Jain,Rahul Jain,476,3
1.06E+14,???? ??? ?????????,???? ??? ?????????,476,1
5.54E+14,Hassan Roomi MLA Fans Club,Hassan Roomi MLA Fans Club,476,1
3.13E+14,IAS Vishal Singh,Sandeep Kumar Sharma,475,1
1.74E+15,Parminder singh sandhu,Parminder singh sandhu,475,3
1.01E+14,Hemant Kumar Mishra,Hemant Kumar Mishra,475,1
2.46E+14,Indrajeet Kumar Roy,HARPUR CARE PRIVATE LIMITED,474,1
1.58E+15,Kailash Institute,These ads ran without a disclaimer,474,6
1.52E+14,Sharan Basavraj Patil,Sharan Basavraj Patil,474,1
3.30E+14,Outlook Business,These ads ran without a disclaimer,474,7
2.21E+14,Rajahmundry local,Digital Senani,473,4
8.49E+14,Regalo Kitchens,These ads ran without a disclaimer,473,1
2.96E+14,UTPAL STAND WITH MODI,These ads ran without a disclaimer,473,2
3.70E+14,Dinesh Rathore,Dinesh Rathore,473,2
2.30E+14,???? ????,???? ????,472,2
1.04E+14,Shankar Jaiswal,Shankar Jaiswal,472,3
1.01E+14,Jan Manas Sahayta Foundation,WMB,471,6
1.99E+14,Central Point School,Arvind Kumar VIshwakarma,470,2
3.12E+14,Sukhveer Maan,Sigma Heroes Enterprises,470,8
6.42E+14,Dr Jayanta Kumar Roy,Dr Jayanta Kumar Roy,470,4
1.00E+14,RELUX Electric,These ads ran without a disclaimer,469,1
1.25E+14,Renew openness mindful equanimity,These ads ran without a disclaimer,469,4
1.06E+14,Jaspreet Singh Dahiya,Jaspreet Singh Dahiya,468,2
1.31E+14,?????? ???? ?????? ?????,Rife Consultancy,468,9
1.43E+14,Adv Akhilesh Chaubey,Adv Akhilesh Chaubey,468,2
2.05E+14,Indian National Congress -  West Bengal,Indian National Congress -  West Bengal,467,3
1.09E+14,Dalbir Singh,Dalbir Singh,467,3
2.09E+14,Ramoji Gowda Super Fans,Anekal Ramoji Gowda Super Fans,467,2
2.73E+14,Ad. Ashwani Kumar,Ad. Ashwani Kumar,467,3
1.04E+14,Anurag Vaishya,Anurag Vaishya,466,1
1.05E+14,MahaBhakt Modi,Jam Tech Media,466,2
1.00E+14,"Fight Pollution, Not Plastics",These ads ran without a disclaimer,465,14
3.94E+14,Zirakpur Times Tv,Zirakpur Times TV,465,3
1.05E+14,Finance World,These ads ran without a disclaimer,465,1
1.16E+14,"Vihangam Auto, Bajaj ASD, Barun-Aurangabad,Bihar",These ads ran without a disclaimer,465,1
2.75E+14,Muslim Youth League - Telangana,Socialiency LLP,464,9
9.25E+14,ExxonMobil,These ads ran without a disclaimer,464,1
1.06E+14,Madhavdas Agrawal,Madhavdas Agrawal,464,1
1.16E+14,Global Times,These ads ran without a disclaimer,464,1
1.11E+14,Malkit Singh,Malkit Singh,462,6
1.47E+14,Pinki Kundu,Pinki Kundu,462,4
1.99E+15,Aakarshan Mishra,V MEDIA CREATIVE,462,5
1.95E+14,Zayed Sustainability Prize,These ads ran without a disclaimer,462,1
1.07E+14,Wonderla,These ads ran without a disclaimer,462,7
1.73E+15,???? ????,???? ????,461,2
1.58E+14,Yfn Samantha Nicole,These ads ran without a disclaimer,460,1
2.41E+14,Dr. Vijayesh Kumar Fan Club Muzaffarpur,Digitals Wow,460,5
72492334694,afaqs!,These ads ran without a disclaimer,460,1
2.91E+14,Girnar Tea,These ads ran without a disclaimer,459,2
2.69E+14,P G RamPullaiah Yadav - Lucky 2,Hello Surendra Digital Ad agency,459,1
1.03E+14,Sumit Ahuja,Sumit Ahuja,459,3
2.91E+14,Aao kariye investing,These ads ran without a disclaimer,458,1
